2020-07-09 18:06:25 status half-installed bash:armhf 5.0-4
2020-07-09 18:06:25 status unpacked bash:armhf 5.0-4
2020-07-09 18:06:26 install libbz2-1.0:armhf <none> 1.0.6-9.2~deb10u1
2020-07-09 18:06:26 status half-installed libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2020-07-09 18:06:26 status unpacked libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2020-07-09 18:06:26 install libdebconfclient0:armhf <none> 0.249
2020-07-09 18:06:26 status half-installed libdebconfclient0:armhf 0.249
2020-07-09 18:06:26 status unpacked libdebconfclient0:armhf 0.249
2020-07-09 18:06:27 install coreutils:armhf <none> 8.30-3
2020-07-09 18:06:27 status half-installed coreutils:armhf 8.30-3
2020-07-09 18:06:28 status unpacked coreutils:armhf 8.30-3
2020-07-09 18:06:30 install dash:armhf <none> 0.5.10.2-5
2020-07-09 18:06:30 status half-installed dash:armhf 0.5.10.2-5
2020-07-09 18:06:30 status unpacked dash:armhf 0.5.10.2-5
2020-07-09 18:06:31 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.5
2020-07-09 18:06:31 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2020-07-09 18:06:31 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2020-07-09 18:06:31 upgrade debconf:all 1.5.71 1.5.71
2020-07-09 18:06:31 status half-configured debconf:all 1.5.71
2020-07-09 18:06:31 status unpacked debconf:all 1.5.71
2020-07-09 18:06:31 status half-installed debconf:all 1.5.71
2020-07-09 18:06:32 status unpacked debconf:all 1.5.71
2020-07-09 18:06:32 install debian-archive-keyring:all <none> 2019.1
2020-07-09 18:06:32 status half-installed debian-archive-keyring:all 2019.1
2020-07-09 18:06:32 status unpacked debian-archive-keyring:all 2019.1
2020-07-09 18:06:32 install debianutils:armhf <none> 4.8.6.1
2020-07-09 18:06:32 status half-installed debianutils:armhf 4.8.6.1
2020-07-09 18:06:32 status unpacked debianutils:armhf 4.8.6.1
2020-07-09 18:06:33 install diffutils:armhf <none> 1:3.7-3
2020-07-09 18:06:33 status half-installed diffutils:armhf 1:3.7-3
2020-07-09 18:06:33 status unpacked diffutils:armhf 1:3.7-3
2020-07-09 18:06:33 upgrade dpkg:armhf 1.19.7 1.19.7
2020-07-09 18:06:33 status half-configured dpkg:armhf 1.19.7
2020-07-09 18:06:33 status unpacked dpkg:armhf 1.19.7
2020-07-09 18:06:33 status half-installed dpkg:armhf 1.19.7
2020-07-09 18:06:34 status unpacked dpkg:armhf 1.19.7
2020-07-09 18:06:36 install e2fsprogs:armhf <none> 1.44.5-1+deb10u3
2020-07-09 18:06:36 status half-installed e2fsprogs:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:36 status unpacked e2fsprogs:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:36 install libcom-err2:armhf <none> 1.44.5-1+deb10u3
2020-07-09 18:06:36 status half-installed libcom-err2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 status unpacked libcom-err2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 install libext2fs2:armhf <none> 1.44.5-1+deb10u3
2020-07-09 18:06:37 status half-installed libext2fs2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 status unpacked libext2fs2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 install libss2:armhf <none> 1.44.5-1+deb10u3
2020-07-09 18:06:37 status half-installed libss2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 status unpacked libss2:armhf 1.44.5-1+deb10u3
2020-07-09 18:06:37 install findutils:armhf <none> 4.6.0+git+20190209-2
2020-07-09 18:06:37 status half-installed findutils:armhf 4.6.0+git+20190209-2
